"NAME","facility_density"
"Oneida",0.644629639981649
"Kent",0.64458142658066
"Heard",0.640943998776189
"Jerome",0.64083073015247
"Linn",0.639327770442185
"Camden",0.63435576820024
"Lincoln",0.633106831730784
"Wabasha",0.632367059742833
"Ulster",0.632065571832297
"McHenry",0.631620925040033
"Wayne",0.630795578514869
"Henrico",0.630662269541987
"Boulder",0.62563609088908
"Salt Lake",0.622996666798779
"Addison",0.621644335474908
"Richmond",0.617482341447157
"Cecil",0.615176786115881
"Sampson",0.611018671875579
"St. James",0.610755110646897
"Fort Bend",0.610650973635989
"Taylor",0.61015016603753
"Edgecombe",0.609359124337447
"DeKalb",0.608332822502172
"Bibb",0.605918510317463
"Strafford",0.605697540140115
"Imperial",0.603118925387222
"Travis",0.602684707261638
"Moore",0.601800574782136
"Clackamas",0.594728127368308
"Seneca",0.593296806120869
"Pinellas",0.592448720741848
"San Mateo",0.590492454236302
"Lancaster",0.588708753592506
"Nobles",0.587812435931884
"Greene",0.586720518089462
"St. Charles",0.583584444502054
"Lee",0.582943962950945
"Craven",0.581443385962197
"Osceola",0.579997250230473
"Sussex",0.577086797828991
"Cameron",0.575482965249508
"Hennepin",0.572693408201952
"Stanly",0.572314002828579
"Rutland",0.571596863518498
"Shiawassee",0.57100204985439
"DeKalb",0.569704461129333
"Redwood",0.569290018816568
"St. Lucie",0.56812547793917
"Anderson",0.561992609770367
"Dane",0.561568733885138
"Hamilton",0.561402318593121
"Lexington",0.560580079117968
"Fresno",0.55879983915852
"Bucks",0.558787108522448
"Polk",0.556938919331891
"Orleans",0.554636123788177
"Scurry",0.553094876989838
"Jasper",0.550114956582452
"Franklin",0.549466264605237
"Nolan",0.549424226818758
"Accomack",0.54935290339853
"Jefferson",0.547447363838943
"Williams",0.547433670766822
"Surry",0.545176426545167
"Wake",0.540591822895156
"Placer",0.539773861362964
"Black Hawk",0.539427687254938
"Riverside",0.539271077200242
"Cortland",0.538906819074032
"Lancaster",0.538887841208562
"Grundy",0.53815962883632
"Tippecanoe",0.537144152590425
"Jackson",0.536805205671325
"Genesee",0.534929732216106
"Nueces",0.531910904022862
"Louisa",0.530234662101163
"Chesterfield",0.530152982169329
"New Hanover",0.528250138785642
"Garrett",0.528245904810351
"Monongalia",0.5273642630653
"Arapahoe",0.527267187026532
"Madison",0.525438918111585
"Polk",0.521849237539195
"Williamson",0.521359509124801
"Greensville",0.52038862757717
"Hidalgo",0.511894690154301
"Rabun",0.511652824027826
"Sutter",0.507644268103051
"Surry",0.503822770821707
"Henry",0.502258998615749
"Twin Falls",0.500608983061238
"Pasquotank",0.500541572673689
"Washington",0.499699789953135
"Wood",0.497741406565164
"Lamoille",0.496979767355411
"Polk",0.494792408113106
"Mecklenburg",0.494774267024243
"James City",0.494697796713794
"Beaufort",0.493348003444755
"Kandiyohi",0.492537094439935
"Calhoun",0.491979101686336
"Orleans",0.49144385538515
"Yolo",0.49130716489949
"Sonoma",0.48606163779063
"Merrimack",0.485210343234986
"Amherst",0.483689283768314
"Butte",0.483456423970636
"Murray",0.48288616166251
"Alamosa",0.480531344268378
"Hampton",0.480501832363837
"Effingham",0.479622843212062
"Dickinson",0.477883862464092
"Westmoreland",0.475247474662538
"Benton",0.475006565636747
"Barrow",0.473949894961548
"Gooding",0.473355497257615
"Ector",0.471039746307341
"Caledonia",0.469707264697697
"Sandusky",0.468898195796187
"Loudon",0.468277080757145
"Forsyth",0.468179188158137
"Washington",0.468133073349496
"Dallas",0.46739102465102
"Allegheny",0.466873876618891
"Spotsylvania",0.465615208932215
"Berrien",0.465592179319575
"St. Clair",0.465333959869444
"Bernalillo",0.463037343813547
"Henry",0.459976378934243
"DuPage",0.459118954389779
"Stanislaus",0.459043441289859
"Montgomery",0.458293114720339
"Washington",0.456440049635116
"Medina",0.456313300052213
"Douglas",0.454705392573588
"Boone",0.451507089288408
"Mitchell",0.450731644351995
"Caswell",0.450620272680241
"Cobb",0.448474814219894
"Franklin",0.448223772831524
"Cumberland",0.447163954851478
"Cambria",0.445567254737803
"Adams",0.44421867692225
"Whiteside",0.443546072874869
"Salem",0.442858069828835
"Alexander",0.439370188415834
"Alachua",0.438365221445499
"LaSalle",0.437157089575277
"Victoria",0.434388648892399
"Onslow",0.433663365744137
"Florence",0.432041617106295
"Northwest Hills",0.42999734560688
"Indian River",0.42939768293357
"Somerset",0.428340838369075
"Isanti",0.427406106779183
"Randolph",0.425778948062166
"Calcasieu",0.423493199974872
"Orange",0.423222420389001
"DeSoto",0.423070147705301
"Union",0.422660435425468
"Atchison",0.421115414719761
"Cumberland",0.420923016966402
"Meeker",0.419275007132926
"Halifax",0.418791802745605
"Sherman",0.418090267732565
"Cottonwood",0.416792165598813
"Columbia",0.416722817038234
"Escambia",0.414046841230725
"Cherokee",0.413622313619199
"Henderson",0.411950764187583
"Clay",0.411142521194023
"Mitchell",0.411045264926553
"East Baton Rouge",0.410418971229791
"Cass",0.410077738862721
"Miami",0.409337788490811
"Davidson",0.408072778046351
"Cape May",0.407605612832666
"Armstrong",0.407047619673344
"Douglas",0.4067903756857
"Houston",0.406477991895659
"Gratiot",0.40527539889033
"King William",0.405121658312992
"Marshall",0.404174557519999
"Jay",0.402104469186967
"Wicomico",0.401718666531307
"Rock",0.399874657115492
"Charles",0.398575016791715
"Carbon",0.398543516401454
"Fluvanna",0.397944664678237
"Richmond",0.395626877222264
"Poweshiek",0.395258361185863
"Madera",0.394581328112694
"Schuylkill",0.394580284668538
"Chatham",0.391368324868578
"Henry",0.391179383995366
"Jackson",0.390144905430317
"Hillsborough",0.38943726107818
"Manitowoc",0.389125730863871
"Sagadahoc",0.388638194954051
"Jefferson",0.388414943588283
"Manatee",0.388247291584038
"Iredell",0.387801233711708
"Champaign",0.386688392979421
"Charles City",0.385554976960042
"Orange",0.385149149561303
"Auglaize",0.384273512482222
"Juneau",0.383639339081917
"San Patricio",0.382968730101046
"Ascension",0.382710883349578
"Wood",0.381618960400271
"York",0.381589257319099
"Shasta",0.381336716310802
"De Witt",0.381291462069302
"Mower",0.379780455546983
"Gilliam",0.378997146978358
"West Baton Rouge",0.378827662125052
"Guadalupe",0.378153737528757
"Talbot",0.376780898433805
"Orangeburg",0.376504610306963
"Columbia",0.376454813125167
"Calhoun",0.376216384863316
"Carson",0.376122838715643
"Ventura",0.374485350552286
"Union",0.374479174271447
"Early",0.373918121140913
"Allegany",0.373284568521749
"Sheboygan",0.372994695156605
"Rock",0.372219759257061
"Decatur",0.371791539161899
"Martin",0.370445930024511
"Porter",0.367808094265531
"Willacy",0.367772741993345
"Clay",0.366753298658977
"Lancaster",0.364933951893312
"Trumbull",0.364145800898863
"Murray",0.363302834043101
"Calhoun",0.362900750762714
"Livingston",0.361844080489642
"Hancock",0.361779595815318
"Brown",0.360908315481455
"Johnson",0.359883111983406
"Sullivan",0.359471601339944
"Isle of Wight",0.359144132560212
"Caddo",0.359136371519541
"Tulare",0.359091283206365
"Nevada",0.356904811140793
"Berks",0.356718018666205
"Windsor",0.355999675085121
"Clay",0.355523137600962
"Warren",0.354293913248705
"Kent",0.354253919891351
"Ogle",0.354049125734107
"Upson",0.353606061984442
"Los Alamos",0.35357656399148
"Bleckley",0.352529211616784
"Bremer",0.351456267688698
"Merced",0.351214457773629
"Buncombe",0.351014200712516
"Pender",0.350133088337095
"Clay",0.349922926517718
"Snyder",0.349335914228672
"Wayne",0.348362136651672
"Frederick",0.347014484283702
"Barnwell",0.346445512565581
"Santa Cruz",0.345818138636624
"Bay",0.344442058822618
"Muscatine",0.343848274471071
"Terrell",0.343301467181513
"Adams",0.342154090427704
"Luzerne",0.340923677610555
"Greenville",0.339696376411628
"St. Francois",0.339665105034671
"Morrow",0.339519564671502
"Stokes",0.338618879577696
"Schuyler",0.338371153727841
"Prince William",0.33826375520448
"Morgan",0.337236280282495
"Taylor",0.33604488856809
"Anderson",0.335936119535326
"Cerro Gordo",0.33564481459601
"Gates",0.335112111079271
"Lake",0.334964764045849
"Logan",0.334834387621707
"Wilson",0.334363431222268
"Neosho",0.334148695249599
"Murray",0.334143646851382
"Chippewa",0.333664743795186
"Delaware",0.333462005797178
"Greenwood",0.332951624555895
"Montgomery",0.332674437604044
"Tuscola",0.332083139221652
"Jefferson",0.331254721945006
"Madison",0.330269025616785
"Garrard",0.330094462418505
"Elkhart",0.330093936915948
"Tulsa",0.328982175663981
"Hardin",0.328274433635889
"Lake",0.328227917796562
