"NAME","n_facilities"
"Virginia Beach",2
"Pitkin",2
"Shackelford",2
"Livingston",2
"Knox",2
"Tuscarawas",2
"Dakota",2
"Scotts Bluff",2
"Schleicher",2
"Osceola",2
"Ionia",2
"Marshall",2
"Noble",2
"Harrison",2
"Holt",2
"Buchanan",2
"Lafayette",2
"Boone",2
"Schoharie",2
"Furnas",2
"McCulloch",2
"Muskegon",2
"Cedar",2
"Clay",2
"Abbeville",2
"Webster",2
"Rice",2
"Boundary",2
"Jefferson",2
"Lapeer",2
"Barrow",2
"Carroll",2
"Taney",2
"Tallapoosa",2
"Stewart",2
"Laurens",2
"Gentry",2
"Payne",2
"Hardin",2
"Kimball",2
"Bleckley",2
"Hand",2
"Martin",2
"Tom Green",2
"O'Brien",2
"Dimmit",2
"Reno",2
"Buffalo",2
"Stanton",2
"Pershing",2
"Cedar",2
"West Baton Rouge",2
"Logan",2
"Harrisonburg",2
"Crow Wing",2
"Union",2
"Anoka",2
"Wyandot",2
"White",2
"Huron",2
"DeKalb",2
"Sweet Grass",2
"Stillwater",2
"Limestone",2
"Gogebic",2
"Marshall",2
"Gloucester",2
"Warrick",2
"Perry",2
"Chickasaw",2
"Stafford",2
"Kemper",2
"Hall",2
"St. Croix",2
"Dickey",2
"Lawrence",2
"Hancock",2
"Randolph",2
"Jo Daviess",2
"Seward",2
"Chilton",2
"McHenry",2
"Jackson",2
"Colquitt",2
"Louisa",2
"Albany",2
"McCracken",2
"Anderson",2
"Barber",2
"Coahoma",2
"St. Francis",2
"Madison",2
"Woods",2
"Macoupin",2
"San Miguel",1
"Habersham",1
"Clinton",1
"Wallace",1
"Shelby",1
"Plaquemines",1
"DeSoto",1
"Beaverhead",1
"Cheyenne",1
"Deuel",1
"Swain",1
"Pembina",1
"Choctaw",1
"Bon Homme",1
"Marion",1
"Essex",1
"Loudoun",1
"Berkeley",1
"Ouray",1
"Jackson",1
"Cook",1
"Warren",1
"Valley",1
"Grant",1
"Ohio",1
"Natchitoches",1
"Oscoda",1
"Chariton",1
"Meagher",1
"Broadwater",1
"Deer Lodge",1
"York",1
"Williamsburg",1
"Lyman",1
"Knox",1
"Humphreys",1
"Cheatham",1
"Dickens",1
"Kimble",1
"Titus",1
"Foard",1
"Duchesne",1
"Garfield",1
"Charlotte",1
"Highland",1
"Barbour",1
"Sauk",1
"Eau Claire",1
"Levy",1
"Walton",1
"Charlton",1
"Lemhi",1
"Nez Perce",1
"Madison",1
"Union",1
"Chicot",1
"Benton",1
"Routt",1
"Delaware",1
"Cass",1
"Walsh",1
"McKenzie",1
"Clatsop",1
"Pike",1
"Hawkins",1
"Monroe",1
"Blount",1
"Uintah",1
"Rich",1
"Washington",1
"Gila",1
"Harrison",1
"Plymouth",1
"Concordia",1
"Clarke",1
"Cook",1
"Norman",1
"Washington",1
"Claiborne",1
"New Madrid",1
"Butler",1
"Richland",1
"White Pine",1
"Bryan",1
"Emanuel",1
"Greene",1
"Talbot",1
"Boise",1
"Shelby",1
"Tipton",1
"Pawnee",1
"Scott",1
"Muhlenberg",1
"Rowan",1
"Evangeline",1
"Iberia",1
"Red River",1
"Morehouse",1
"Wetzel",1
"Wood",1
"Washington",1
"Sheridan",1
"Ouachita",1
"Clark",1
"Highlands",1
"Union",1
"Baldwin",1
"McMinn",1
"Rutherford",1
"Benton",1
"DeKalb",1
"Bedford",1
"Callahan",1
"Cherokee",1
"Martin",1
"Brooks",1
"Pennington",1
"Rankin",1
"Leake",1
"Perry",1
"Camden",1
"Silver Bow",1
"Seward",1
"Keya Paha",1
"McClain",1
"Union",1
"Northumberland",1
"Montgomery",1
"Terrebonne",1
"Calvert",1
"Emmet",1
"Benton",1
"Colleton",1
"Weakley",1
"Presidio",1
"Wise",1
"Buchanan",1
"Clallam",1
"Okanogan",1
"Effingham",1
"Door",1
"Woodruff",1
"Saguache",1
"Marion",1
"Stafford",1
"New Kent",1
"Roanoke",1
"Russell",1
"Dinwiddie",1
"King and Queen",1
"Tucker",1
"Washington",1
"Gibson",1
"Bath",1
"Caroline",1
"Harrison",1
"Nicholas",1
"Hernando",1
"Whitfield",1
"Idaho",1
"Jackson",1
"Dare",1
"Washington",1
"Wayne",1
"McCormick",1
"Charles Mix",1
"Cass",1
"Patrick",1
"Hancock",1
"Stark",1
"Taylor",1
"Bourbon",1
"McCone",1
"Lake",1
"Grant",1
"Clarion",1
"Juniata",1
"Newberry",1
"Bamberg",1
"Roane",1
"Jefferson",1
"Grainger",1
"Tyler",1
"Colorado",1
"Menard",1
"Fremont",1
"Stanley",1
"Smith",1
"San Jacinto",1
"Van Zandt",1
"Freestone",1
"Attala",1
"Saunders",1
"Eureka",1
"Wagoner",1
"Raleigh",1
"Adams",1
"Choctaw",1
"Dallas",1
"Charlevoix",1
"Scott",1
"Lee",1
"Caroline",1
"Schuyler",1
"Rooks",1
"Laurel",1
"Pacific",1
"Arkansas",1
