"NAME","mean_pm25_exact"
"St. Clair",8.77289009094238
"Lawrence",8.77233123779297
"Lafayette",8.77162170410156
"Christian",8.77066993713379
"Mason",8.7658863067627
"Moultrie",8.76553535461426
"Marion",8.76450252532959
"St. Landry",8.76171112060547
"Rappahannock",8.76141548156738
"Vinton",8.76082801818848
"Jefferson",8.76030826568604
"Miner",8.75778579711914
"LaSalle",8.75725841522217
"St. Martin",8.75696563720703
"Washington",8.75645446777344
"Richland",8.75603294372559
"Chittenden",8.75596904754639
"Otter Tail",8.75467491149902
"Vernon",8.75432968139648
"Freestone",8.75314903259277
"Howard",8.7525749206543
"Koochiching",8.75219821929932
"Murray",8.751296043396
"Shelby",8.75065803527832
"Cherokee",8.74786472320557
"Newaygo",8.74736499786377
"Erie",8.74666500091553
"Grundy",8.74594688415527
"Gilmer",8.74209117889404
"Columbia",8.74140548706055
"Taylor",8.74020957946777
"West Feliciana",8.73953723907471
"Dawson",8.73909759521484
"Lawrence",8.73864936828613
"Liberty",8.73644351959229
"Jackson",8.73642158508301
"Carroll",8.73635101318359
"Scott",8.7354211807251
"Floyd",8.73443222045898
"Montgomery",8.73441505432129
"Renville",8.73417854309082
"Fayette",8.73390007019043
"Codington",8.73250675201416
"Burleson",8.73220825195312
"Bucks",8.73174095153809
"Camden",8.7315263748169
"Blue Earth",8.73095607757568
"McPherson",8.73093605041504
"Clay",8.73081302642822
"Harrison",8.73054313659668
"Martin",8.72932720184326
"Rockdale",8.72745513916016
"Randolph",8.72597789764404
"Norfolk",8.72591209411621
"Mason",8.72400379180908
"Paulding",8.72392654418945
"Jefferson",8.72352313995361
"Roberts",8.72342777252197
"Butler",8.72317695617676
"McIntosh",8.72292327880859
"Jerauld",8.72266006469727
"Brookings",8.72230339050293
"New Castle",8.72122097015381
"Becker",8.72090148925781
"Chicot",8.72068786621094
"Freeborn",8.71959114074707
"Cameron",8.71936321258545
"Clay",8.71818733215332
"Fulton",8.71706104278564
"Henry",8.71673965454102
"Chester",8.71420574188232
"Itasca",8.71398162841797
"Cass",8.71318531036377
"Warren",8.71309185028076
"Susquehanna",8.71238231658936
"Fulton",8.71235179901123
"Colonial Heights",8.71194458007812
"Mississippi",8.7117395401001
"Jackson",8.71138572692871
"Lapeer",8.71081256866455
"Emmons",8.70979309082031
"Pike",8.70913410186768
"Oglethorpe",8.70907306671143
"Lac qui Parle",8.70587921142578
"Portsmouth",8.70565032958984
"Gallia",8.70558452606201
"Bowie",8.70432567596436
"Loudoun",8.70307064056396
"Anderson",8.7023983001709
"Hyde",8.70085334777832
"Jones",8.69923973083496
"Jefferson",8.69727325439453
"Plaquemines",8.69716739654541
"Clark",8.69258117675781
"Iroquois",8.69111633300781
"Wabash",8.68873977661133
