"NAME","n_facilities_within_5km","near_pps"
"Tehama",10,TRUE
"St. Joseph",10,TRUE
"Storey",10,TRUE
"McLean",10,TRUE
"Forsyth",10,TRUE
"Meeker",10,TRUE
"Mower",10,TRUE
"Tuscola",10,TRUE
"Jasper",10,TRUE
"Upton",10,TRUE
"West Baton Rouge",10,TRUE
"Luzerne",10,TRUE
"Woodward",10,TRUE
"Palm Beach",10,TRUE
"Taylor",10,TRUE
"Chesapeake",10,TRUE
"Hancock",10,TRUE
"Orleans",10,TRUE
"Washtenaw",10,TRUE
"Owyhee",9,TRUE
"Clinton",9,TRUE
"Cecil",9,TRUE
"Martin",9,TRUE
"Onslow",9,TRUE
"Accomack",9,TRUE
"Buffalo",9,TRUE
"Lake",9,TRUE
"East Baton Rouge",9,TRUE
"Cumberland",9,TRUE
"Westmoreland",9,TRUE
"Louisa",9,TRUE
"Sussex",9,TRUE
"Santa Rosa",9,TRUE
"Muscogee",9,TRUE
"Yuma",9,TRUE
"Andrews",9,TRUE
"Orleans",9,TRUE
"Sutter",9,TRUE
"Lee",9,TRUE
"Calhoun",9,TRUE
"Guadalupe",9,TRUE
"Northumberland",9,TRUE
"Cherokee",9,TRUE
"Jefferson",9,TRUE
"Humboldt",9,TRUE
"Jefferson",9,TRUE
"Cascade",9,TRUE
"Williamson",9,TRUE
"Greensville",9,TRUE
"Charles",9,TRUE
"Grant",9,TRUE
"Union",9,TRUE
"Caswell",9,TRUE
"Gates",9,TRUE
"Montrose",9,TRUE
"Windham",9,TRUE
"Lancaster",9,TRUE
"Lyon",9,TRUE
"Livingston",9,TRUE
"Peoria",9,TRUE
"Walton",9,TRUE
"Rock",9,TRUE
"Vernon",9,TRUE
"Lubbock",9,TRUE
"Gratiot",9,TRUE
"Campbell",9,TRUE
"Sangamon",9,TRUE
"Kay",9,TRUE
"Boone",9,TRUE
"Bennington",9,TRUE
"Winnebago",9,TRUE
"Sterling",9,TRUE
"Bradford",9,TRUE
"Lassen",9,TRUE
"Iredell",9,TRUE
"Alamosa",9,TRUE
"Kent",9,TRUE
"Kossuth",9,TRUE
"Butler",9,TRUE
"Converse",9,TRUE
"Borden",9,TRUE
"Torrance",9,TRUE
"Polk",9,TRUE
"Madison",9,TRUE
"Valencia",9,TRUE
"Canadian",9,TRUE
"Garfield",9,TRUE
"Escambia",8,TRUE
"Osage",8,TRUE
"Berkeley",8,TRUE
"Putnam",8,TRUE
"Daviess",8,TRUE
"Wharton",8,TRUE
"Lewis",8,TRUE
"Mesa",8,TRUE
"St. Bernard",8,TRUE
"Waldo",8,TRUE
"Queen Anne's",8,TRUE
"Menominee",8,TRUE
"Isle of Wight",8,TRUE
"Pierce",8,TRUE
"Berkeley",8,TRUE
"Montgomery",8,TRUE
"Crane",8,TRUE
"Essex",8,TRUE
"Kittitas",8,TRUE
"Paulding",8,TRUE
"Charles City",8,TRUE
"Cassia",8,TRUE
"Orange",8,TRUE
"Skagit",8,TRUE
"Hampton",8,TRUE
"Yakima",8,TRUE
"Hamilton",8,TRUE
"Chesterfield",8,TRUE
"Porter",8,TRUE
"Berrien",8,TRUE
"Collin",8,TRUE
"Surry",8,TRUE
"Lamoille",8,TRUE
"Early",8,TRUE
"Tippecanoe",8,TRUE
"Tioga",8,TRUE
"Ford",8,TRUE
"Hendry",8,TRUE
"Shiawassee",8,TRUE
"Suffolk",8,TRUE
"Black Hawk",8,TRUE
"Guthrie",8,TRUE
"Hendricks",8,TRUE
"Morgan",8,TRUE
"Cass",8,TRUE
"Grayson",8,TRUE
"St. Louis",8,TRUE
"Atchison",8,TRUE
"Beaver",8,TRUE
"Orleans",8,TRUE
"Marathon",8,TRUE
"Monongalia",8,TRUE
"Spokane",8,TRUE
"Glasscock",8,TRUE
"Kenton",8,TRUE
"Adams",8,TRUE
"Chemung",8,TRUE
"Chowan",8,TRUE
"Cheshire",8,TRUE
"Cochise",8,TRUE
"Decatur",8,TRUE
"Cortland",8,TRUE
"McLennan",8,TRUE
"Hancock",8,TRUE
"Berks",8,TRUE
"Anoka",8,TRUE
"Florence",8,TRUE
"Okeechobee",8,TRUE
"Wood",8,TRUE
"San Francisco",8,TRUE
"Darke",8,TRUE
"Chaves",8,TRUE
"Bell",8,TRUE
"Jo Daviess",8,TRUE
"Marquette",7,TRUE
"Calhoun",7,TRUE
"Twiggs",7,TRUE
"Power",7,TRUE
"Brown",7,TRUE
"Deschutes",7,TRUE
"Douglas",7,TRUE
"Effingham",7,TRUE
"Chambers",7,TRUE
"Henderson",7,TRUE
"Taos",7,TRUE
"De Witt",7,TRUE
"Osceola",7,TRUE
"Union",7,TRUE
"Buncombe",7,TRUE
"Dauphin",7,TRUE
"Autauga",7,TRUE
"Rio Arriba",7,TRUE
"Volusia",7,TRUE
"Prince George",7,TRUE
"Hamilton",7,TRUE
"Armstrong",7,TRUE
"Spotsylvania",7,TRUE
"Suwannee",7,TRUE
"Burke",7,TRUE
"Monroe",7,TRUE
"Siskiyou",7,TRUE
"Mecklenburg",7,TRUE
"Crockett",7,TRUE
"Nassau",7,TRUE
"Rabun",7,TRUE
"Hanover",7,TRUE
"Camden",7,TRUE
"Napa",7,TRUE
"Amherst",7,TRUE
"Lancaster",7,TRUE
"Indiana",7,TRUE
"Washington",7,TRUE
"Floyd",7,TRUE
"Jefferson",7,TRUE
"Wyandotte",7,TRUE
"Howard",7,TRUE
"Bastrop",7,TRUE
"Fond du Lac",7,TRUE
"Belknap",7,TRUE
"Cedar",7,TRUE
"Carlton",7,TRUE
"Williams",7,TRUE
"Lee",7,TRUE
"Willacy",7,TRUE
"Wilson",7,TRUE
"St. John the Baptist",7,TRUE
"La Crosse",7,TRUE
"Brown",7,TRUE
"Williamson",7,TRUE
"Adams",7,TRUE
"Delaware",7,TRUE
"Hill",7,TRUE
"Hamilton",7,TRUE
"Sandusky",7,TRUE
"Houston",7,TRUE
"Millard",7,TRUE
"Sullivan",7,TRUE
"Bay",7,TRUE
"Pottawattamie",7,TRUE
"Freeborn",7,TRUE
"Dickinson",7,TRUE
"Sumner",7,TRUE
"Harris",7,TRUE
"Manitowoc",7,TRUE
"Sweetwater",7,TRUE
"DeSoto",7,TRUE
"Wayne",7,TRUE
"Blair",7,TRUE
"Calhoun",7,TRUE
"Columbia",7,TRUE
"Orange",7,TRUE
"Zapata",7,TRUE
"Milwaukee",7,TRUE
"Marshall",7,TRUE
"Orange",7,TRUE
"Carbon",7,TRUE
"Saginaw",7,TRUE
"Grady",7,TRUE
"Durham",7,TRUE
"Alexander",7,TRUE
"Douglas",7,TRUE
"Cerro Gordo",7,TRUE
"Grant",7,TRUE
"Kit Carson",7,TRUE
"Hancock",7,TRUE
"Luna",7,TRUE
"Fairfield",7,TRUE
"Henry",7,TRUE
"Vermilion",7,TRUE
"Clay",7,TRUE
"Dickinson",7,TRUE
"Cottonwood",7,TRUE
"Habersham",6,TRUE
"Talbot",6,TRUE
"Delta",6,TRUE
"Iron",6,TRUE
"Cheyenne",6,TRUE
"Currituck",6,TRUE
"Swain",6,TRUE
"Thurston",6,TRUE
"Park",6,TRUE
"Gilchrist",6,TRUE
"Sagadahoc",6,TRUE
"Morrison",6,TRUE
"Jackson",6,TRUE
"Henry",6,TRUE
"Centre",6,TRUE
"Pickens",6,TRUE
"Moore",6,TRUE
"Weber",6,TRUE
"Orange",6,TRUE
"Stevens",6,TRUE
"Marin",6,TRUE
"New Hanover",6,TRUE
"Rock Island",6,TRUE
"Scott",6,TRUE
"Talladega",6,TRUE
"Somerset",6,TRUE
"Kent",6,TRUE
"Mitchell",6,TRUE
"Greene",6,TRUE
"Fairfax",6,TRUE
"Whitman",6,TRUE
"Grant",6,TRUE
"San Benito",6,TRUE
"Amador",6,TRUE
"Houston",6,TRUE
"Clarendon",6,TRUE
"Marion",6,TRUE
"Ward",6,TRUE
"Sierra",6,TRUE
"McLean",6,TRUE
"Matagorda",6,TRUE
"Cache",6,TRUE
"Essex",6,TRUE
"Rusk",6,TRUE
"Vigo",6,TRUE
"Dewey",6,TRUE
"Faribault",6,TRUE
"St. Mary",6,TRUE
"Wicomico",6,TRUE
"Graham",6,TRUE
"Rockingham",6,TRUE
"Greene",6,TRUE
"Southampton",6,TRUE
"Taylor",6,TRUE
"Coweta",6,TRUE
"Davis",6,TRUE
"Sullivan",6,TRUE
"Lee",6,TRUE
"Franklin",6,TRUE
"Pinellas",6,TRUE
"Navajo",6,TRUE
"Jackson",6,TRUE
"Douglas",6,TRUE
"Tulsa",6,TRUE
"Garfield",6,TRUE
"Washington",6,TRUE
"Lamar",6,TRUE
"Jack",6,TRUE
"Haskell",6,TRUE
"Hansford",6,TRUE
"Broward",6,TRUE
"Bay",6,TRUE
"Davie",6,TRUE
"Auglaize",6,TRUE
"Shelby",6,TRUE
"Dougherty",6,TRUE
"Hamilton",6,TRUE
"Butler",6,TRUE
"Pratt",6,TRUE
"Morgan",6,TRUE
"Montgomery",6,TRUE
"Archer",6,TRUE
"Falls",6,TRUE
"Pierce",6,TRUE
"Chester",6,TRUE
"Alexandria",6,TRUE
"Boone",6,TRUE
"Hot Spring",6,TRUE
"Oldham",6,TRUE
"Jasper",6,TRUE
"Moody",6,TRUE
"Sanilac",6,TRUE
"Muscatine",6,TRUE
"Fillmore",6,TRUE
"Dodge",6,TRUE
"Portage",6,TRUE
"Henry",6,TRUE
"Jefferson",6,TRUE
"Randolph",6,TRUE
"Manassas",6,TRUE
"Barron",6,TRUE
"Martin",6,TRUE
"Tazewell",6,TRUE
"Trumbull",6,TRUE
"Dakota",6,TRUE
"Medina",6,TRUE
"Oakland",6,TRUE
"Oklahoma",6,TRUE
"Isanti",6,TRUE
"Murray",6,TRUE
"Dawson",6,TRUE
"Laramie",6,TRUE
"Webster",6,TRUE
"Poweshiek",6,TRUE
"Lincoln",6,TRUE
"Adams",6,TRUE
"Quay",6,TRUE
"Jeff Davis",6,TRUE
"Coffey",6,TRUE
"Antelope",6,TRUE
"Union",6,TRUE
"Richland",6,TRUE
"Benton",6,TRUE
"Macon",6,TRUE
"Elkhart",6,TRUE
"Russell",6,TRUE
"Caldwell",6,TRUE
"Van Wert",6,TRUE
"Wilbarger",6,TRUE
"Osceola",6,TRUE
"Johnson",6,TRUE
"Grant",6,TRUE
"Thomas",6,TRUE
"Rock",6,TRUE
"Curry",6,TRUE
"Johnson",6,TRUE
"Eaton",6,TRUE
"St. Charles",6,TRUE
"Ingham",6,TRUE
"Bristol",6,TRUE
"Lincoln",6,TRUE
"Baldwin",5,TRUE
"Houston",5,TRUE
"Santa Cruz",5,TRUE
"Pasco",5,TRUE
"Chatham",5,TRUE
"Perry",5,TRUE
"Elmore",5,TRUE
"Alpena",5,TRUE
"Stokes",5,TRUE
"Ottawa",5,TRUE
"Hamilton",5,TRUE
"Huerfano",5,TRUE
"Bulloch",5,TRUE
"Burnet",5,TRUE
"Wasatch",5,TRUE
"La Paz",5,TRUE
"Henderson",5,TRUE
"Pasquotank",5,TRUE
"Cass",5,TRUE
"Washington",5,TRUE
"Lake",5,TRUE
"Dukes",5,TRUE
"Carroll",5,TRUE
"Clark",5,TRUE
"Sumter",5,TRUE
"Lander",5,TRUE
"Trinity",5,TRUE
"Lake",5,TRUE
"Campbell",5,TRUE
"New Kent",5,TRUE
"Richmond",5,TRUE
"Mobile",5,TRUE
"Washington",5,TRUE
"Yavapai",5,TRUE
"Knox",5,TRUE
"Fauquier",5,TRUE
"Wayne",5,TRUE
"Shelby",5,TRUE
"Hancock",5,TRUE
"Ascension",5,TRUE
"Boone",5,TRUE
"Newberry",5,TRUE
"Seminole",5,TRUE
"Rusk",5,TRUE
"Allegany",5,TRUE
"Livingston",5,TRUE
"West Feliciana",5,TRUE
"Dorchester",5,TRUE
"Pointe Coupee",5,TRUE
"Snohomish",5,TRUE
"Chippewa",5,TRUE
"Navarro",5,TRUE
"Castro",5,TRUE
"Adams",5,TRUE
"Lewis and Clark",5,TRUE
"Fremont",5,TRUE
"Kenedy",5,TRUE
"Lac qui Parle",5,TRUE
"Iberville",5,TRUE
"Grays Harbor",5,TRUE
"Laurens",5,TRUE
"Bosque",5,TRUE
"Callaway",5,TRUE
"Montezuma",5,TRUE
"Walla Walla",5,TRUE
"Greenwood",5,TRUE
"Davidson",5,TRUE
"Mariposa",5,TRUE
"Wayne",5,TRUE
"Miami",5,TRUE
"Clark",5,TRUE
"Woodbury",5,TRUE
"Mitchell",5,TRUE
"Lenawee",5,TRUE
"Mason",5,TRUE
"Gage",5,TRUE
"Comanche",5,TRUE
"Ellis",5,TRUE
"Coke",5,TRUE
"Richland",5,TRUE
"Summit",5,TRUE
"Otero",5,TRUE
"Platte",5,TRUE
"Monroe",5,TRUE
"Greene",5,TRUE
"Fayette",5,TRUE
"Hood River",5,TRUE
"Wheatland",5,TRUE
"Deuel",5,TRUE
"Worth",5,TRUE
"Neosho",5,TRUE
"Hunt",5,TRUE
"Lincoln",5,TRUE
"Potter",5,TRUE
"Mitchell",5,TRUE
"Racine",5,TRUE
"Concho",5,TRUE
"Hancock",5,TRUE
"Sheboygan",5,TRUE
"Hughes",5,TRUE
"Douglas",5,TRUE
"Audubon",5,TRUE
"Douglas",5,TRUE
"Knox",5,TRUE
"Grant",5,TRUE
"Pine",5,TRUE
"Worcester",5,TRUE
"Brunswick",5,TRUE
"Iroquois",5,TRUE
"Dunn",5,TRUE
"Kootenai",5,TRUE
"LaPorte",5,TRUE
"Iowa",5,TRUE
"Texas",5,TRUE
"Danville",5,TRUE
"Logan",5,TRUE
"Broomfield",5,TRUE
"Fluvanna",5,TRUE
"Mercer",5,TRUE
"Warren",5,TRUE
"Harper",5,TRUE
"Brown",5,TRUE
"Kalamazoo",5,TRUE
"Burleigh",5,TRUE
"Morgan",5,TRUE
"Franklin",5,TRUE
"Jefferson",5,TRUE
"Yellowstone",5,TRUE
"Schuyler",5,TRUE
"Lynn",5,TRUE
"Meriwether",5,TRUE
"Kingfisher",5,TRUE
"Meigs",5,TRUE
"Columbia",5,TRUE
"Bremer",5,TRUE
"Polk",5,TRUE
"Kingman",5,TRUE
"Jefferson",5,TRUE
"Ford",5,TRUE
"Garland",5,TRUE
"Jackson",5,TRUE
"Tama",5,TRUE
"Sanpete",5,TRUE
"Clay",5,TRUE
"Dubuque",5,TRUE
"Cowley",5,TRUE
"Cibola",5,TRUE
"Boone",5,TRUE
"Hutchinson",5,TRUE
"Custer",5,TRUE
"Webster",5,TRUE
"Mayes",5,TRUE
"Lycoming",5,TRUE
"Columbia",5,TRUE
"Haywood",5,TRUE
"Roosevelt",5,TRUE
"Logan",5,TRUE
